# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
aqr	Arhâ
aqt	Angaité
aqz	Akuntsu
ar	العربية
ar-x-dcv	العربية Dominant Culture Variant
arb	Standard Arabic
arc	Official Aramaic (700-300 BCE)
ard	Arabana
are	Western Arrarnta
arh	Arhuaco
ari	Arikara
arj	Arapaso
ark	Arikapú
arl	Arabela
arn	Mapudungun
aro	Araona
arp	Arapaho
arq	Algerian Arabic
arr	Karo (Brazil)
ars	Najdi Arabic
aru	Aruá (Amazonas State)
arv	Arbore
arw	Arawak
arx	Aruá (Rodonia State)
ary	Moroccan Arabic
arz	Egyptian Arabic
as	অসমীয়া
asa	Asu (Tanzania)
asb	Assiniboine
asc	Casuarina Coast Asmat
asd	Asas
ase	American Sign Language
asf	Australian Sign Language
asg	Cishingini
asi	Buruwai
asj	Sari
ask	Ashkun
asl	Asilulu
asn	Xingú Asuriní
aso	Dano
asp	Algerian Sign Language
asq	Austrian Sign Language
asr	Asuri
ass	Ipulo
ast	Asturian
asu	Tocantins Asurini
asv	Asoa
asw	Australian Aborigines Sign Language
asx	Muratayak
asy	Yaosakor Asmat
asz	As
ata	Pele-Ata
atb	Zaiwa
atc	Atsahuaca
atd	Ata Manobo
ate	Atemble
atg	Ivbie North-Okpela-Arhe
ati	Attié
atj	Atikamekw
atk	Ati
atl	Mt. Iraya Agta
atm	Ata
atn	Ashtiani
ato	Atong
atp	Pudtol Atta
atq	Aralle-Tabulahan
atr	Waimiri-Atroari
ats	Gros Ventre
att	Pamplona Atta
atu	Reel
atv	Northern Altai
atw	Atsugewi
atx	Arutani
aty	Aneityum
atz	Arta
aua	Asumboa
aub	Alugu
auc	Waorani
aud	Anuta
aug	Aguna
auh	Aushi
aui	Anuki
auj	Awjilah
auk	Heyo
aul	Aulua
aum	Asu (Nigeria)
aun	Molmo One
auo	Auyokawa
aup	Makayam
auq	Anus
aur	Aruek
aut	Austral
auu	Auye
auw	Awyi
auy	Awiyaana
auz	Uzbeki Arabic
av	авар мацӀ, магӀарул мацӀ
avb	Avau
avd	Alviri-Vidari
avi	Avikam
avk	Kotava
